,start_value,bottom_value,difference,percent_diff
2036,461600.0,441133.33,-20466.669999999984,-0.044338539861351785
2037,189800.0,197600.0,7800.0,0.0410958904109589
2038,132000.0,113033.33,-18966.67,-0.14368689393939393
2039,226566.67,226200.0,-366.6700000000128,-0.0016183757301990306
2040,110100.0,93000.0,-17100.0,-0.1553133514986376
2041,120266.67,116266.67,-4000.0,-0.033259422581501594
2042,381466.67,362200.0,-19266.669999999984,-0.05050682409553627
2043,267300.0,237500.0,-29800.0,-0.11148522259633371
2044,313266.67,292300.0,-20966.669999999984,-0.0669291437866658
2045,184233.33,113533.33,-70699.99999999999,-0.3837524947304594
2046,110333.33,120333.33,10000.0,0.09063444382581401
2047,279033.33,268266.67,-10766.660000000033,-0.03858556968803702
2048,147600.0,147366.67,-233.3299999999872,-0.001580826558265496
2049,184100.0,189266.67,5166.670000000013,0.028064475828354224
2050,184033.33,180933.33,-3100.0,-0.016844774802477355
2051,332166.67,319700.0,-12466.669999999984,-0.03753136941764803
2052,205166.67,194966.67,-10200.0,-0.049715677502588505
2054,67200.0,57000.0,-10200.0,-0.15178571428571427
2055,260933.33,246500.0,-14433.329999999987,-0.055314244447039355
2056,231300.0,225233.33,-6066.670000000013,-0.026228577604842252
2057,79200.0,70666.67,-8533.330000000002,-0.10774406565656568
2058,92333.33,84600.0,-7733.330000000002,-0.08375447955792346
2059,129366.67,110566.67,-18800.0,-0.145323366520913
2060,123900.0,120100.0,-3800.0,-0.03066989507667474
2061,182366.67,171300.0,-11066.670000000013,-0.060683621628886526
2062,335100.0,315400.0,-19700.0,-0.058788421366756195
2063,69066.67,68166.67,-900.0,-0.013030887401984199
2064,59900.0,61666.67,1766.6699999999983,0.02949365609348912
2065,202800.0,196766.67,-6033.329999999987,-0.029750147928994018
2066,329033.33,299700.0,-29333.330000000016,-0.08915002622986558
2067,101800.0,103166.67,1366.6699999999983,0.013425049115913539
2068,280833.33,249533.33,-31300.00000000003,-0.11145400725761442
2070,44466.67,49600.0,5133.330000000002,0.1154421952442133
2072,332933.33,319266.67,-13666.660000000033,-0.04104923949788996
2073,92700.0,81733.33,-10966.669999999998,-0.11830280474649404
2074,231066.67,217266.67,-13800.0,-0.05972302279684041
2075,244600.0,216166.67,-28433.329999999987,-0.11624419460343413
2076,256766.67,223800.0,-32966.67000000001,-0.12839154708046807
2077,444933.33,430133.33,-14800.0,-0.03326341049792786
2078,182133.33,140600.0,-41533.32999999999,-0.22803805322177984
2079,286866.67,288566.67,1700.0,0.0059260980022531025
2080,178033.33,167566.67,-10466.659999999974,-0.05879045232710063
2081,431766.67,401900.0,-29866.669999999984,-0.06917317170405947
2082,373200.0,337400.0,-35800.0,-0.09592711682743837
2083,163933.33,162600.0,-1333.3299999999872,-0.008133367387827646
2084,174600.0,158233.33,-16366.670000000013,-0.09373808705612836
2085,403833.33,378166.67,-25666.660000000033,-0.06355755727245206
2087,255600.0,162866.67,-92733.32999999999,-0.362806455399061
2088,178333.33,171533.33,-6800.0,-0.03813084183422134
2089,148833.33,147666.67,-1166.6599999999744,-0.007838701183397391
2090,158766.67,152933.33,-5833.340000000026,-0.03674159066257436
2091,284600.0,253666.67,-30933.329999999987,-0.10869054813773713
2092,287566.67,264233.33,-23333.339999999967,-0.08114062731957068
2093,173033.33,163500.0,-9533.329999999987,-0.055095339146510026
2094,162300.0,164066.67,1766.6700000000128,0.01088521256931616
2096,100866.67,100166.67,-700.0,-0.006939854364181945
2097,88266.67,92366.67,4100.0,0.046450149303242094
2098,199066.67,220933.33,21866.659999999974,0.1098459124272284
2099,343433.33,330333.33,-13100.0,-0.038144230206194604
2100,251200.0,236566.67,-14633.329999999987,-0.05825370222929931
2101,133000.0,129333.33,-3666.6699999999983,-0.02756894736842104
2102,338900.0,309200.0,-29700.0,-0.08763647093537917
2103,117033.33,115633.33,-1400.0,-0.01196240421425247
2104,289666.67,276433.33,-13233.339999999967,-0.045684717541027306
2105,268033.33,230900.0,-37133.330000000016,-0.1385399718758858
2106,110800.0,106533.33,-4266.669999999998,-0.03850785198555955
2107,212400.0,188833.33,-23566.670000000013,-0.11095419020715637
2108,109033.33,110466.67,1433.3399999999965,0.013145888509504355
2109,116100.0,115833.33,-266.66999999999825,-0.0022968992248061865
2110,39500.0,37466.67,-2033.3300000000017,-0.051476708860759536
2112,243933.33,238900.0,-5033.329999999987,-0.020634039636977807
2113,378933.33,352633.33,-26300.0,-0.06940534895676767
2114,140866.67,140100.0,-766.6700000000128,-0.005442522351099893
2115,259366.67,246766.67,-12600.0,-0.04857987342783866
2116,221100.0,213500.0,-7600.0,-0.034373586612392586
2117,191466.67,153600.0,-37866.67000000001,-0.1977716017101045
2118,145833.33,140366.67,-5466.659999999974,-0.037485669428243704
2119,223133.33,212033.33,-11100.0,-0.049746041974096836
2120,328000.0,314033.33,-13966.669999999984,-0.04258131097560971
2121,87933.33,90266.67,2333.3399999999965,0.026535330801187633
2122,179666.67,160033.33,-19633.340000000026,-0.10927647292622512
2123,102833.33,104300.0,1466.6699999999983,0.014262593655189405
2124,111300.0,135466.67,24166.670000000013,0.21713090745732266
2125,1177966.67,1216800.0,38833.330000000075,0.032966408124263887
2126,104900.0,99900.0,-5000.0,-0.047664442326024785
2128,381033.33,331133.33,-49900.0,-0.13095967221555133
2129,311133.33,282366.67,-28766.660000000033,-0.09245766115767806
2130,309466.67,274300.0,-35166.669999999984,-0.1136363731835806
2131,189800.0,165600.0,-24200.0,-0.12750263435194942
2132,87800.0,83166.67,-4633.330000000002,-0.05277141230068339
2133,273233.33,259766.67,-13466.660000000003,-0.04928630046707699
2134,390466.67,360233.33,-30233.339999999967,-0.0774287341861982
2135,170333.33,176200.0,5866.670000000013,0.03444229030219754
2137,101300.0,93800.0,-7500.0,-0.07403751233958539
2139,507466.67,427000.0,-80466.66999999998,-0.15856542854331693
2140,118333.33,138400.0,20066.67,0.1695774977345774
2141,173500.0,161533.33,-11966.670000000013,-0.06897216138328538
2142,193433.33,170333.33,-23100.0,-0.11942099120146461
2143,133500.0,141033.33,7533.329999999987,0.05642943820224709
2144,285133.33,258133.33,-27000.00000000003,-0.09469254260804946
2145,109900.0,107300.0,-2600.0,-0.023657870791628753
2146,518633.33,489766.67,-28866.660000000033,-0.05565909155896331
2147,137666.67,141300.0,3633.329999999987,0.0263922269638685
2149,165233.33,156200.0,-9033.329999999987,-0.05467014433468107
2150,386266.67,368333.33,-17933.339999999967,-0.046427355484748314
2151,96233.33,95100.0,-1133.3300000000017,-0.011776896840211201
2152,338133.33,309800.0,-28333.330000000016,-0.08379336636231635
2153,195166.67,167633.33,-27533.340000000026,-0.14107603516522582
2154,117900.0,116833.33,-1066.6699999999983,-0.009047243426632726
2156,200766.67,184066.67,-16700.0,-0.0831811375862338
2157,544866.67,507166.67,-37700.00000000006,-0.06919123902366804
2158,191400.0,194900.0,3500.0,0.018286311389759665
2159,201066.67,170300.0,-30766.670000000013,-0.15301725542080152
2160,132933.33,124333.33,-8599.999999999985,-0.06469408386895888
2161,220466.67,210500.0,-9966.670000000013,-0.045207150813318005
2162,247633.33,249166.67,1533.3400000000256,0.006191977469268881
2163,352566.67,298733.33,-53833.33999999997,-0.1526898160849974
2164,140300.0,123333.33,-16966.67,-0.12093136136849607
2165,157166.67,147933.33,-9233.340000000026,-0.058748715615085725
2166,1340300.0,1228133.33,-112166.66999999993,-0.08368773408938292
2167,149000.0,143933.33,-5066.670000000013,-0.03400449664429539
2168,106633.33,98500.0,-8133.330000000002,-0.07627380669814965
2169,221766.67,205733.33,-16033.340000000026,-0.07229824030815823
2170,685233.33,659666.67,-25566.659999999916,-0.037310882119525504
2171,274233.33,262566.67,-11666.660000000033,-0.04254282293111502
2172,433533.33,415166.67,-18366.660000000033,-0.042365047227164825
2173,110966.67,112700.0,1733.3300000000017,0.015620275890048803
2174,78766.67,79133.33,366.6600000000035,0.004655014614684149
2175,302866.67,283200.0,-19666.669999999984,-0.06493507522633635
2176,218600.0,207833.33,-10766.670000000013,-0.04925283623055816
2177,292033.33,257800.0,-34233.330000000016,-0.11722405110402985
2178,253933.33,244666.67,-9266.659999999974,-0.03649249194660652
2179,127633.33,124466.67,-3166.6600000000035,-0.024810603938642074
2180,172100.0,158700.0,-13400.0,-0.0778617083091226
2181,450233.33,426433.33,-23800.0,-0.052861479624353884
2182,44266.67,44233.33,-33.33999999999651,-0.0007531625938882801
2183,163066.67,157166.67,-5900.0,-0.036181520110762054
2184,132700.0,149966.67,17266.670000000013,0.1301180859080634
2185,305466.67,288266.67,-17200.0,-0.05630728877883797
2186,76166.67,66166.67,-10000.0,-0.13129102270061171
2188,280533.33,277900.0,-2633.3300000000163,-0.009386870358684353
2189,154766.67,156833.33,2066.6599999999744,0.013353391915713985
2191,212733.33,205833.33,-6900.0,-0.03243497387080812
2192,239533.33,219533.33,-20000.0,-0.08349568721814205
2193,587033.33,541633.33,-45400.0,-0.077338027808404
2194,410033.33,351733.33,-58300.0,-0.1421835634678771
2195,189933.33,180133.33,-9800.0,-0.05159705250258078
2196,68033.33,65633.33,-2400.0,-0.03527682681415124
2197,118333.33,105266.67,-13066.660000000003,-0.11042248198373192
